Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
5,225,11,,50047,15,3,w,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,72.84,D2717,3.5,0.6,71.4,31.5,101.6,68.4,35.3,101.0,5.7,6.8,11.5,,16.5,101.3,6.2,11.5,
5,225,12,,50048,15,4,w,l,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,75.99,D2718,4.1,0.7,68.6,33.0,100.9,70.5,31.2,101.1,6.6,5.4,12.0,,17.1,101.0,6.0,12,
5,225,13,,50049,17,1,w,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,86.78,D2719,5.3,0.9,70.0,28.0,99.6,70.6,32.0,101.4,8.7,6.9,11.2,,16.9,100.5,7.8,11.2,
5,225,14,,50050,17,2,p,m,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,70.87,D2720,3.8,0.6,70.5,31.9,101.6,70.5,30.6,101.4,7.4,7.6,11.0,,16.4,101.5,7.5,11,
5,225,15,,50051,17,3,w,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,75.15,D2721,4.5,0.8,68.5,28.5,100.9,68.3,30.2,100.6,7.1,6.7,12.0,,16.7,100.8,6.9,12,
5,225,16,,50052,17,4,p,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,79.96,D2722,4.1,0.7,66.7,33.0,102.6,67.5,29.2,101.1,7.4,7.3,11.7,,17.2,101.9,7.3,11.7,
5,225,17,,50053,18,1,y,n,10,,x,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,116.54,D2723,5.8,1.0,71.0,38.7,103.8,71.9,28.4,101.8,7.7,7.0,10.0,,17.0,102.8,7.3,10,
5,225,18,,50054,18,2,y,m,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,150.06,D2724,6.0,1.1,71.3,28.8,99.9,71.9,28.6,100.6,6.8,6.5,12.5,,18.2,100.3,6.6,12.5,
5,226,1,,50055,18,3,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,144.78,D1750,8.8,1.6,71.3,34.6,101.3,70.7,27.5,99.5,6.5,7.0,12.0,,18.4,100.4,6.7,12,
5,226,2,,50056,18,4,y,l,10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,226,,119.30,D1751,7.5,1.4,68.9,39.3,103.6,70.4,32.8,100.1,6.6,6.5,12.0,,18.1,101.9,6.6,12,
