Vine,FruitID,Combined,ShootID,FruitPos,Flowering,Sub-T Leaf,Height,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
4,511,40511,22,1,w,m,-10,,134160,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,123.26,D0160,4.1,0.8,60.3,19.5,99.9,62.0,21.7,99.9,1.9,2.1,16.5,,19.9,99.9,2.0,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,52,40052,22,2,w,n,-10,,134160,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,127.12,D0161,4.1,0.9,63.9,25.1,100.1,62.0,21.3,99.5,2.6,2.2,16.0,,21.2,99.8,2.4,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,53,40053,22,3,w,n,-10,,134161,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,146.86,D0198,5.4,1.1,62.9,19.2,99.5,64.8,23.4,100.1,2.0,2.2,16.5,,19.5,99.8,2.1,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,54,40054,22,4,w,n,10,,134161,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,123.37,D0199,5.2,1.0,61.6,23.9,100.6,60.9,23.3,99.9,1.7,2.0,16.3,,19.3,100.3,1.8,16.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,55,40055,22,5,w,l,-10,,134161,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,120.59,D0200,4.5,0.9,58.5,22.3,100.5,56.9,17.9,99.8,1.5,1.7,17.0,,19.7,100.2,1.6,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,56,40056,23,1,w,n,-10,,134161,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,151.20,D0201,5.1,1.0,61.3,26.2,99.3,60.9,23.8,99.1,2.7,2.4,16.2,,19.6,99.2,2.5,16.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,57,40057,23,2,w,n,10,,134161,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,137.51,D0202,5.4,1.1,62.2,27.0,99.1,61.1,23.1,99.1,2.6,2.7,16.0,,19.3,99.1,2.6,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,58,40058,23,3,y,n,-20,,134161,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,117.98,D0203,3.8,0.7,58.4,20.8,99.5,58.8,20.2,99.5,2.2,2.0,16.5,,19.2,99.5,2.1,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,59,40059,23,4,w,l,-10,,134161,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,112.64,D0204,4.0,0.8,61.4,23.5,99.7,62.0,24.3,99.5,3.2,2.7,16.0,,19.1,99.6,2.9,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,60,40060,24,1,y,n,-20,,134161,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,122.26,D0205,4.5,0.8,66.6,25.1,99.5,68.0,23.1,100.1,4.7,4.2,15.0,,18.6,99.8,4.5,15,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,61,40061,24,2,y,l,-20,,134161,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,121.47,D0206,4.4,0.9,61.4,26.9,99.7,64.8,26.5,98.7,3.6,3.3,15.2,,19.4,99.2,3.4,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,62,40062,25,1,y,n,-20,,134161,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,146.24,D0207,5.3,1.0,65.8,25.9,99.6,64.1,24.9,99.3,3.6,3.4,16.0,,19.5,99.5,3.5,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,63,40063,25,2,y,n,-20,,134161,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,147.25,D0208,5.1,1.0,62.4,25.1,99.7,62.2,20.5,99.5,3.0,3.0,16.5,,19.6,99.6,3.0,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,64,40064,25,3,y,n,-20,,134161,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,145.40,D0209,5.2,1.0,61.9,20.0,99.5,62.0,21.1,99.1,3.0,2.7,16.8,,19.6,99.3,2.8,16.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,65,40065,25,4,y,n,-20,,134161,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,164,,140.29,D0210,4.9,0.9,59.4,23.2,99.5,60.6,21.2,99.9,2.2,2.3,16.3,,19.0,99.7,2.3,16.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
