Vine,Tray,TrayFruit,FruitID,Combined,ShootID,FruitPos,Flowering,Height,Sub-T Leaf,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
5,237,7,0258,50258,70,5,y,10,l,,134234,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,148.83,d1825,6.1,1.1,70.6,38.6,104.8,74.0,31.6,100.8,6.9,8.0,9.0,,18.4,102.8,7.4,9,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,8,0259,50259,73,1,w,10,n,,134234,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,89.55,d1826,4.4,0.8,68.2,22.4,99.9,70.1,25.3,99.6,5.9,5.7,12.8,,18.9,99.8,5.8,12.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,9,0260,50260,73,2,w,10,m,,134234,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,103.02,d1827,4.6,0.9,68.3,30.1,100.1,68.1,22.7,99.4,6.2,5.8,13.2,,19.5,99.8,6.0,13.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,10,0261,50261,73,3,w,10,m,,134234,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,109.04,d1828,5.2,1.0,69.5,31.1,98.2,72.0,30.1,99.9,6.4,6.7,12.8,,19.1,99.1,6.5,12.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,11,0262,50262,73,4,w,10,l,,134234,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,98.97,d1829,4.7,0.9,70.4,27.1,99.0,70.9,31.3,99.9,6.6,5.9,12.4,,19.9,99.5,6.2,12.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,12,0263,50263,73,5,w,10,n,,134234,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,100.64,d1830,4.1,0.8,70.6,33.6,100.3,71.7,28.4,100.0,6.1,6.3,12.2,,20.1,100.2,6.2,12.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,13,0264,50264,74,1,p,10,n,,134234,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,118.57,d1831,5.8,1.0,72.7,32.5,102.9,74.6,28.5,101.8,5.9,6.4,8.2,,17.5,102.4,6.2,8.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,14,0265,50265,74,2,p,10,n,,134234,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,143.04,d1832,7.6,1.5,75.2,26.4,100.9,74.9,30.6,101.1,7.2,6.1,9.0,,19.3,101.0,6.6,9,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,15,0266,50266,74,3,p,10,n,,134234,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,129.94,d1833,7.4,1.3,75.4,29.5,102.3,75.4,28.8,101.0,7.8,7.5,8.0,,18.1,101.7,7.6,8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,16,0267,50267,74,4,p,10,l,,134234,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,99.74,d1834,5.4,1.0,71.1,31.5,101.0,72.0,30.0,101.0,5.8,5.9,9.4,,17.8,101.0,5.8,9.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,17,0268,50268,75,1,w,-20,n,,134234,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,100.48,d1835,4.7,0.9,71.0,23.9,100.0,71.0,21.8,99.3,6.7,6.9,11.2,,18.9,99.7,6.8,11.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,18,0269,50269,75,2,y,-20,n,,134234,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,98.45,d1836,4.9,1.0,69.8,28.9,99.5,68.8,26.3,98.9,5.6,5.1,12.8,,19.4,99.2,5.4,12.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,1,0270,50270,75,3,y,-10,n,,134235,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,118.21,D2482,7.3,1.4,69.9,27.0,99.9,70.6,25.4,97.8,6.2,5.9,13.0,,19.2,98.9,6.0,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,2,0271,50271,75,4,y,-20,n,,134235,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,123.15,D2483,9.0,1.7,70.0,23.6,99.2,69.8,27.5,100.3,6.2,5.8,12.4,,18.8,99.8,6.0,12.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,3,0272,50272,75,5,y,-10,l,,134235,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,116.17,D2484,7.4,1.4,72.0,23.4,99.0,72.0,21.7,99.0,8.6,7.6,12.2,,19.0,99.0,8.1,12.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,4,0273,50273,75,6,y,-10,l,,134235,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,121.88,D2485,7.5,1.4,70.3,27.9,100.1,69.7,27.7,99.4,6.2,5.9,12.8,,18.8,99.8,6.0,12.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,5,0274,50274,75,7,w,-20,l,,134235,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,117.60,D2486,7.4,1.4,68.3,26.3,98.8,66.8,28.5,100.1,7.4,6.5,13.0,,18.7,99.5,6.9,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,6,0275,50275,76,1,w,-10,n,,134235,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,85.04,D2487,6.0,1.1,67.0,25.3,99.5,67.0,25.4,99.9,5.5,5.3,13.2,,17.9,99.7,5.4,13.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,7,0276,50276,76,2,y,-10,n,,134235,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,106.14,D2488,7.1,1.3,67.2,25.2,98.8,66.5,26.6,100.1,5.3,5.9,13.8,,18.7,99.5,5.6,13.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,8,0277,50277,76,3,w,-10,n,,134235,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,107.38,D2489,6.7,1.2,68.5,25.5,98.6,67.9,28.9,99.3,5.6,5.6,13.2,,18.4,99.0,5.6,13.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,9,0278,50278,76,4,w,-20,l,,134235,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,128.21,D2490,8.1,1.6,68.7,27.3,99.6,70.1,27.0,99.6,5.1,5.9,13.4,,19.0,99.6,5.5,13.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,10,0279,50279,76,5,y,-10,m,,134235,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,104.57,D2491,6.3,1.2,68.2,26.9,99.9,68.3,26.0,100.2,5.0,5.5,14.0,,18.6,100.1,5.3,14,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,11,0280,50280,76,6,w,-20,l,,134235,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,108.41,D2492,6.9,1.3,70.7,29.0,100.1,70.1,29.5,101.1,5.9,5.9,12.8,,18.4,100.6,5.9,12.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,12,0281,50281,77,1,w,-20,n,,134235,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,77.10,D2493,5.9,1.0,69.6,27.6,99.4,68.2,30.3,100.4,6.2,6.9,12.2,,17.5,99.9,6.5,12.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,13,0282,50282,77,2,w,-20,n,,134235,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,103.02,D2494,6.7,1.2,70.3,35.1,100.2,71.1,32.5,99.1,6.7,6.5,12.0,,17.5,99.7,6.6,12,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,14,0283,50283,77,3,w,-30,l,,134235,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,98.83,D2495,6.8,1.2,70.3,30.9,101.1,70.6,30.3,101.0,6.8,7.1,11.8,,17.3,101.1,7.0,11.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,238,15,0284,50284,77,4,w,-30,l,,134235,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,238,,101.90,D2496,6.5,1.1,70.6,32.6,100.1,69.4,32.3,100.9,6.7,6.4,12.2,,17.2,100.5,6.6,12.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
