vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,220,221,60,148,,13,50,740,17,,,E,10,
1,221,222,70,149,,13,50,810,17,,,E,10,
1,222,223,80,150,,13,40,920,17,,,E,10,
1,223,224,70,151,,13,40,0,18,,,E,10,
1,224,225,100,152,,13,20,90,18,,,E,10,
1,225,226,70,153,,13,0,160,18,,,E,10,
1,226,227,160,154,,13,0,330,18,,,E,10,
1,227,228,80,155,,13,0,390,24,,,E,10,
1,228,229,80,156,,13,30,390,24,,,E,10,
1,230,202,100,,,,410,40,16,,10,,10,
1,230,231,380,,,,310,340,15,,,W,11,
1,231,232,110,,,,180,360,15,,,W,11,
1,232,233,120,,,,160,510,15,,,W,11,
1,233,234,340,,,,160,540,21,,,W,11,
1,234,235,150,,,,250,680,21,,,W,11,
1,235,236,130,157,,5,250,820,21,,,W,11,
1,236,237,120,158,,5,260,940,21,,,W,11,
1,237,238,100,159,,5,290,40,20,,,W,11,
1,238,239,150,160,,5,330,190,20,,,W,11,
1,239,240,200,161,,5,360,380,20,,,W,11,
1,240,241,120,162,,5,360,480,20,,,W,11,
1,241,242,140,163,,5,380,640,20,,,W,11,
1,242,243,90,164,,5,380,720,20,,,W,11,
1,243,244,80,165,,5,380,810,20,,,W,11,
1,244,245,110,166,,5,390,920,20,,,W,11,
1,245,246,150,167,,5,400,100,19,,,W,11,
1,246,247,190,168,,5,420,290,19,,,W,11,
1,247,248,210,169,,5,500,450,19,,,W,11,
1,249,230,600,,,,300,0,15,,11,,11,girdle to origin
1,250,249,900,,,,50,90,16,,,,,graft to girdle
1,251,250,530,,,,0,0,16,,trunk,,,ground to graft
1,250,252,950,,,,50,20,21,,,,,graft to girdle
1,252,253,360,,,,140,70,21,,12,,12,girdle to origin
1,253,254,20,,,,150,80,21,,,W,12,
1,254,255,60,,,,180,130,21,,,W,12,
1,255,256,150,,,,290,240,21,,,W,12,
1,256,257,70,170,,,290,310,21,,,W,12,
1,257,258,60,171,,,310,370,21,,,W,12,
1,258,259,130,172,,,320,500,21,,,W,12,
1,253,260,170,,,,280,30,22,,13,,13,
1,260,261,140,,,,340,130,22,,,E,13,
1,261,262,10,173,,,350,140,22,,,E,13,
1,261,263,60,,,,370,150,22,,,W,13,
1,263,264,110,,,,420,30,22,,,W,13,
1,264,265,70,343,,,440,20,21,,,W,13,
1,263,266,50,,,,410,220,22,,,E,13,
1,266,267,100,,,,330,230,22,,,E,13,
1,267,268,20,174,,,330,240,22,,,E,13,
1,267,269,100,,,,310,340,22,,,E,13,
1,269,270,100,,,,340,430,22,,,E,13,
1,270,271,190,175,,12,280,620,22,,,E,13,
1,271,272,70,176,,12,300,720,22,,,E,13,
1,272,273,160,177,,12,330,860,22,,,E,13,
1,273,274,170,178,,12,360,50,23,,,E,13,
1,274,275,80,179,,12,390,140,23,,,E,13,
1,275,276,140,180,,12,410,280,23,,,E,13,
1,276,277,80,181,,12,390,360,23,,,E,13,
1,277,278,320,182,,12,360,680,23,,,E,13,
1,278,279,140,183,,12,340,840,23,,,E,13,
1,279,280,140,184,,12,360,980,23,,,E,13,
1,280,281,80,185,,12,370,70,24,,,E,13,
