Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,7,7,10115,1-55,5,2,3,3,y,2019-11-04,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,126.39,D1850,8.46,1.51,63.55,31.27,103.6,63.4,30.31,104.1,3.31,2.87,14,,17.84869976,103.85,3.09,14,
1,7,8,10116,1-55,5,2,3,4,w,2019-11-06,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,134.15,D1851,8.75,1.57,63.57,31.79,102.4,63.82,31.76,104.2,2.46,2.4,14.8,,17.94285714,103.3,2.43,14.8,
1,7,9,10117,1-55,5,2,3,6,w,2019-11-06,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,141.48,D1852,8.51,1.52,63.63,34.18,104.8,62.57,31.96,104,3.06,2.97,14.8,,17.8613396,104.4,3.015,14.8,
1,7,10,10118,1-55,5,2,3,5,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,133.89,D1853,8.4,1.58,64.49,27.56,101.8,63.27,27.6,102.9,3.04,2.5,15.2,,18.80952381,102.35,2.77,15.2,
1,7,11,10119,1-56,6,3,3,1,y,2019-11-04,s,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,134.65,D1854,8.13,1.54,63.93,26.34,101.7,64.51,26.62,102.4,2.75,2.5,15.5,,18.94218942,102.05,2.625,15.5,
1,7,12,10120,1-56,6,3,3,2,w,2019-11-06,s,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,147.65,D1855,9.15,1.68,64.9,24.33,102.3,64.7,30.64,102.5,3.03,3.25,15,,18.36065574,102.4,3.14,15,
1,7,13,10121,1-56,6,3,3,3,w,2019-11-06,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,134.51,D1856,8.43,1.53,63.97,29.16,101.8,63.44,27.26,101.8,2.81,2.44,14.8,,18.14946619,101.8,2.625,14.8,
1,7,14,10122,1-57,6,3,3,1,w,2019-11-06,n,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,120.96,D1857,7.17,1.31,63.08,31.13,103.6,63.52,33.91,104.3,2.91,2.97,14.5,,18.27057183,103.95,2.94,14.5,
1,7,15,10123,1-57,6,3,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,132.34,D1858,7.87,1.46,66.06,33.48,102.8,64.07,29.24,103,2.66,3.21,14.8,,18.55146125,102.9,2.935,14.8,
1,7,16,10124,1-58,6,3,3,1,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,118.28,D1859,7.74,1.42,65.09,35.22,104.1,64.43,34.22,104.4,3.41,2.48,14.6,,18.34625323,104.25,2.945,14.6,
